Date,Bench,Squat,Sumo DL,OHP,Conv DL,Leg Press,Pull-Ups,Bodyweight,,,
10/1/2019,3x135x4,,,,,,,,,,
10/2/2019,,170x5,,,205x8,,,,,,
10/5/2019,,,,94x3,,,,,,,
10/8/2019,150x4,,,,,,,,,,
10/9/2019,,,295x5,,,,,,,,
10/10/2019,3x140x4,,,,,,,,,,
10/11/2019,,180x4,,,221x8,,,,,,
10/14/2019,,,,94x4,,,,,,,
10/16/2019,155x4,,,,,,,,,,
10/18/2019,,,305x3,,,,,,,,
10/22/2019,3x145x4,,,,,,,,,,
10/26/2019,,185x4,,,215x8,,,,,,
10/27/2019,,,,"99x3
",,,,,,,
10/29/2019,,,,,,,,145.8,,,
10/30/2019,,,310x3,,,,,,,,
11/4/2019,160x3,,,,,,,,,,
11/6/2019,3x150x4,,,,,,,,,,
11/9/2019,"
",190x4,,,,,,,,,
11/12/2019,,,,100x4,,,,,,,
11/13/2019,,,310x5,,,,,,,,
11/18/2019,165x3,,,,,,,,,,
11/19/2019,,195x4,,,3x203x8,,,,,,
11/20/2019,,,,105x3,,,,,,,
11/21/2019,180x1,,,,,,,,,,
11/22/2019,,,313.5x4,,,,,,,,
11/30/2019,,,,,,,,145.4,,,
12/6/2019,,,316x3,,,,,,,,
12/11/2019,,,,105x3,,,,,,,
12/12/2019,165x2,,,,,,,,,,
12/18/2019,,,315x5,,,,,,,,
12/27/2019,,195x4,,,4x215x6,,,,,,
12/29/2019,170x3,,,,,,,145.4,,,
1/1/2020,,,335x3,5x95x5,,,,,,,
1/5/2020,,,,,,,,143.4,,,
1/30/2020,,198x3,,,,,,,,,
1/31/2020,,,286x2,,,,,,,,
2/3/2020,,,3x315x3,,,,,,,,
2/4/2020,,205x2,,5x95x5,,,,,,,
2/5/2020,170x4,,,,,,,,,,
2/6/2020,,,,,285x3,,,,,,
2/10/2020,,,,4x95x5,,4x315x8,,,,,
2/11/2020,175x3,,345x1,,,,,,,,
2/12/2020,,,,3x85x8,,,5x30x5,,,,
2/13/2020,,4x155x8,,,,,,,,,
2/15/2020,,,297x4,,,,,,,,
2/16/2020,175x3,,,,,,,,,,
2/18/2020,,3x185x5,,,,,,,,,
2/19/2020,,,,,,,2x25x7,,,,
2/20/2020,,,,3x105x4,,,,,,,
2/21/2020,,,,,2x275x4,,,,,,
2/24/2020,180x2,,,,,,,,,,
2/25/2020,,,,,295x3,,,,,,
2/26/2020,,,,110x3,,,,,,,
2/27/2020,,,3x287x6,,,,,,,,
2/28/2020,,,,,,,,144.8,,,
3/1/2020,3x165x4,,,,,,,,,,
3/2/2020,,,,,,2x345x8,,,,,
3/3/2020,,,,,2x265x5,,,,,,
3/4/2020,,3x195x3,,,,,,,,,
3/5/2020,176x2,,,,,,,,,,
3/6/2020,,,2x305x5,,,,3x10x8,,,,
3/9/2020,175x3,,,,,2x295x15,,143,,,
3/10/2020,,185x4,,,,,,,,,
3/18/2020,4x145x8,,,,,,20x9,,,,
3/19/2020,,2x145x10,,,,,,,,,
3/20/2020,,,,95x7,,,,,,,
3/21/2020,145x10,,,,,,,,,,
3/22/2020,,145x10,,,,,3x25x8,,,,
3/27/2020,,165x8,,,,,,,,,
3/28/2020,2x165x5,,,,,,28x8,,,,
3/30/2020,,,255x7,,2x255x5,,,,,,
3/31/2020,4x155x7,,,,,,,,,,
4/2/2020,,2x165x8,,,,,,,,,
4/3/2020,,,,4x75x11,,,,,,,
4/6/2020,,,,,3x255x6,,,,,,
4/7/2020,,3x165x8,,,,,,,,,
4/9/2020,2x165x5,,,,,,,,,,
4/10/2020,,,,,4x255x6,,,,,,
4/12/2020,,3x165x9,,,,,,,,,
4/13/2020,,,,4x90x6,,,4x15x10,,,,
4/14/2020,3x155x7,,,,,,,,,,
4/16/2020,,,,3x95x5,3x275x5,,,,,,
4/17/2020,,3x185x5,,,,,,,,,
4/18/2020,2x175x2,,,,,,,,,,
4/20/2020,165x5,,,,,,,,,,
4/22/2020,4x145x10,,,5x85x6,,,,,,,
4/23/2020,,,,,3x275x5,,,,,,
4/24/2020,,4x185x5,,,,,3x25x9,,,,
4/25/2020,3x165x5,,,,,,,,,,
4/27/2020,,,,,3x275x6,,,,,,
4/28/2020,3x170x3,,,,,,3x15x10,,,,
4/29/2020,,3x190x5,,,,,,,,,
4/30/2020,175x3,,,,,,,,,,
5/2/2020,,,,,3x280x5,,,,,,
5/3/2020,175x4,,,,,,,,,,
5/5/2020,,3x185x6,,,,,,,,,
5/6/2020,3x165x5,,,,,,,,,,
5/7/2020,,,,,,,3x25x9,,,,
5/8/2020,,,,105x4,,,,,,,
5/12/2020,4x165x5,,,,,,,,,,
5/13/2020,,6x160x6,,5x95x5,,,,,,,
5/14/2020,6x135x6,,,,,,4x45x5,,,,
5/15/2020,,7x170x5,,,,,,,,,
5/16/2020,7x145x5,,,,,,,,,,
5/17/2020,,,,,330x1,,,,,,
5/18/2020,,8x180x4,,,,,,,,,
5/19/2020,2x175x3,,,,,,,,,,
5/21/2020,,10x190x3,,,,,,,,,
5/23/2020,185x1,,,,,,,,,,
5/24/2020,,6x165x6,,,,,3x50x5,,,,
5/25/2020,6x145x6,,,,3x295x3,,,,,,
5/26/2020,,7x175x5,,,,,,,,,
5/27/2020,5x165x5,,,3x105x4,,,,,,,
5/29/2020,6x165x4,,,,,,,,,,
5/30/2020,,8x185x4,,,,,,,,,
5/31/2020,10x170x3,,,,,,,,,,
6/1/2020,,,,,,,65x3,,,,
6/2/2020,,10x195x3,,,,,,,,,
6/3/2020,6x150x6,,,,,,,,,,
6/4/2020,,6x170x6,,,,,,,,,
6/5/2020,7x165x5,,,,,,2x45x7,,,,
6/7/2020,,,,5x100x5,,,,,,,
6/8/2020,,,,,,,25x10,,,,
6/9/2020,8x170x4,,,,,,,,,,
6/10/2020,,7x185x5,,120x1,,,,,,,
6/11/2020,,,,,,,2x60x3,,,,
6/12/2020,2x155x10,,,,,,,,,,
6/14/2020,,8x195x4,,,,,,,,,
6/16/2020,10x175x3,,,,,,,,,,
6/17/2020,,10x205x3,,,,,,,,,
6/18/2020,,,,,,,4x50x5,,,,
6/19/2020,,,,,315x2,,,,,,
6/21/2020,,,,,,,3x55x4,,,,
6/22/2020,205x1,,,,,,,,,,
6/24/2020,,3x175x8,,,,,,,,,
6/25/2020,,,,,,,3xBWx15,,,,
6/29/2020,185x3,,,,,,,142.6,,,
6/30/2020,,,,,3x275x6,,3x55x4,,,,
7/1/2020,,3x205x4,,2x100x6,,,,,,,
7/2/2020,4x165x7,,,,,,,,,,
7/5/2020,,,,,2x300x2,,,,,,
7/6/2020,185x4,,,,,,,,,,
7/14/2020,,,3x295x5,2x105x4,,,,,,,
7/15/2020,4x170x6,,,,,,,,,,
7/16/2020,,3x195x6,,,,,4x45x4,,,,
7/17/2020,,,330x2,,,,,,,,
7/21/2020,3x175x6,,,,,,,,,,
7/23/2020,,2x205x4,,,,,3x35x7,,,,
7/27/2020,,,330x3,4x100x5,,,50x5,,,,
7/28/2020,185x3,,,,,,,,,,
7/31/2020,,3x220x3,,,,,,141,,,
8/2/2020,,,,4x95x6,260x5,,,,,,
8/15/2020,155x8,,,,,,3x25x9,,,,
8/16/2020,,185x7,,,,,,,,,
8/17/2020,,,,,,,2x60x3,,,,
8/18/2020,3x170x5,,,,,,,,,,
8/20/2020,,,,105x3,,,,,,,
8/21/2020,3x155x8,,,,,,,,,,
8/22/2020,2x175x3,,,,,,2x45x6,,,,
8/24/2020,,205x5,,,,,,,,,
8/25/2020,,,,,,,3x57.5x4,,,,
8/27/2020,,,,105x3,,,,,,,
8/31/2020,185x2,,,,,,,140.2,,,
9/1/2020,,165x7,,,,,,,,,
9/3/2020,,,,,,,60x4,,,,
9/30/2020,,,,,,,,138.4,,,
10/28/2020,,155x8,,2x95x6,,,,139.4,,,
11/13/2020,5x165x5,2x175x5,,,,,,,,,
11/23/2020,195x3,3x185x6,,2x95x6,,,,,,,
11/27/2020,4x175x6,185x8,,3x95x6,,,,,,,
11/29/2020,,,,,,,,140.2,,,
12/4/2020,3x185x5,205x4,,,,,,,,,
12/12/2020,2x175x6,,,,,,,,,,
12/13/2020,,3x185x5,,,,,80x3,,,,
12/14/2020,,,,2x100x5,185x10,,,,,,
12/15/2020,190x3,,,,,,,,,,
12/16/2020,,205x5,,,,,4x60x4,,,,
12/17/2020,,,2x260x6,,,,,,,,
12/18/2020,3x165x8,,,,,,,,,,
12/19/2020,,3x155x10,,,,,,,,,
12/20/2020,,,280x7,100x4,,,,,,,
12/21/2020,200x1,,,,,,,,,,
12/23/2020,,155x12,,,,,,,,,
12/24/2020,,,,5x95x6,,,55x7,,,,
12/26/2020,5x180x5,,,,,,,,,,
12/27/2020,,2x185x7,,,,,3x45x9,,,,
12/28/2020,,,,3x90x7,,,,,,,
12/29/2020,,,2x295x7,,,,,,,,
12/30/2020,2x195x3,,,,,,,137.8,,,
1/1/2021,,,,3x95x7,,,4x55x7,,,,
1/2/2021,2x175x7,,,,,,,,,,
1/5/2021,,175x12,,,,,,,,,
1/6/2021,,,2x330x3,,,,45x11,,,,
1/7/2021,205x1,,,,,,,,,,
1/8/2021,,,,2x95x7,,,,,,,
1/9/2021,185x5,,,,,,,,,,
1/10/2021,,,3x310x5,,,,,,,,
1/30/2021,2x185x5,185x10,,,,,,141.6,,,
2/24/2021,,,,,,,,138.4,,,
3/1/2021,,2x195x6,,,,,,,,,
3/8/2021,185x2,,,,,,,,,,
3/12/2021,2x170x6,,,,,,,,,,
3/13/2021,,,3x295x6,,,,,,,,
3/16/2021,,2x205x4,,,,,,,,,
3/26/2021,,,,,,,,134.4,,,
3/30/2021,3x135x10,,,,,,,,,,
4/2/2021,,,,,3x199x8,,,,,,
4/3/2021,,3x175x7,,,,,,,,,
4/4/2021,150x6,,3x243x6,,,,,,,,
4/5/2021,,,,95x2,,,,,,,
4/6/2021,165x5,,,,,,,139.2,,,
4/7/2021,,3x195x4,,,,,3x40x5,,,,
4/8/2021,,,3x309x3,,,,,,,,
4/11/2021,3x165x5,,,,,,,,,,
4/12/2021,,155x12,,,,,3x30x7,,,,
4/13/2021,,,363x1,3x90x5,,,,,,,
4/14/2021,185x1,,,,,,,,,,
4/20/2021,3x150x7,235x1,,,,,,,,,
4/22/2021,3x155x9,,,,,,30x8,,,,
4/24/2021,,3x135x15,,,,,,,,,
4/25/2021,,,,,198x10,,,,,,
4/27/2021,,,356x1,,,,,,,,
4/30/2021,195x1,,,,,,,140.2,,,
5/2/2021,,205x5,,85x8,,,,,,,
5/4/2021,3x155x7,,3x248x5,,,,,,,,
5/5/2021,,,,,,,4x45x5,,,,
5/6/2021,,,,,2x221x6,,,,,,
5/8/2021,,,,3x75x10,198x9,,,,,,
5/9/2021,,245x1,,,,,,,,,
5/10/2021,190x2,,,,,,,,,,
5/11/2021,,,308x4,,,,,,,,
5/13/2021,5x170x4,,,,,,,,,,
5/15/2021,3x175x4,,,,,,,,,,
5/17/2021,,,2x334x2,,,,,,,,
5/18/2021,,2x210x5,,,,,,,,,
5/20/2021,7x165x5,,,,,,,,,,
5/21/2021,,,2x295x7,5x85x6,,,,,,,
5/22/2021,,2x225x2,,,,,,,,,
5/24/2021,7x160x8,,,,,,,,,,
5/25/2021,,2x205x4,,,,,,,,,
5/29/2021,,,,,,,,141.6,,,
6/6/2021,4x155x8,,,,,,,,,,
6/7/2021,,4x195x6,,,,,,,,,
6/9/2021,2x185x3,,,,,,,,,,
6/10/2021,,,,,4x240x6,,,,,,
6/12/2021,3x185x4,,,,,,,,,,
6/14/2021,,,2x337x2,,,,3x50x6,,,,
6/15/2021,,225x3,,,,,,,,,
6/16/2021,3x165x8,,,,,,,,,,
6/17/2021,,,,4x100x4,,,,141.4,,,
6/21/2021,,,385x1,,,,,142.2,,,
6/22/2021,,2x205x4,,,,,,,,,
6/23/2021,195x3,,,,,,,,,,
6/24/2021,,,,,3x245x8,,,,,,
6/25/2021,3x180x4,,,,,,,,,,
6/27/2021,,,,105x4,,,2x50x5,,,,
